# Vertices
# Vertex ID, Square ID
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,28
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30

# Edges
# From, To, Distance
0,2,1218
0,9,324
0,14,0
0,22,0
0,24,0
0,25,0
0,27,0
0,28,0
1,14,0
1,16,0
1,29,0
2,19,0
2,28,0
2,30,0
3,15,0
4,5,2490
4,9,6983
4,11,0
4,26,0
5,27,0
5,29,0
6,12,0
6,13,0
6,19,0
6,29,0
7,16,0
7,17,0
7,20,20
7,21,0
7,22,0
7,25,0
7,27,0
7,28,0
7,29,0
8,1,1
8,21,0
8,24,0
8,25,0
9,18,0
9,20,20
10,17,0
10,21,0
10,26,0
10,30,0
11,14,0
11,22,0
12,14,0
12,16,0
12,19,0
12,22,0
12,29,0
13,25,0
13,26,0
13,30,0
14,16,0
14,20,20
14,23,0
14,26,0
14,27,0
15,16,10
15,18,10
15,23,0
15,26,0
15,29,0
17,30,0
19,21,0
19,28,0
19,30,0
20,22,0
20,26,0
21,25,0
22,26,0
22,27,0
23,24,0
25,30,0
27,29,0

# Source and Dest
S,19
D,26
